date,clicks,t,log_sales,t_squared,t_cube,t^4,mon,tue,wed,thur,fri,sat,sun
01-07-2015,111,1,4.709530201,1,1,1,0,0,0,1,0,0,0
02-07-2015,217,2,5.379897354,4,8,16,0,0,0,0,1,0,0
03-07-2015,220,3,5.393627546,9,27,81,0,0,0,0,0,1,0
04-07-2015,48,4,3.871201011,16,64,256,0,0,0,0,0,0,1
05-07-2015,321,5,5.771441123,25,125,625,1,0,0,0,0,0,0
06-07-2015,253,6,5.533389489,36,216,1296,0,1,0,0,0,0,0
07-07-2015,221,7,5.398162702,49,343,2401,0,0,1,0,0,0,0
08-07-2015,59,8,4.077537444,64,512,4096,0,0,0,1,0,0,0
09-07-2015,149,9,5.003946306,81,729,6561,0,0,0,0,1,0,0
10-07-2015,192,10,5.257495372,100,1000,10000,0,0,0,0,0,1,0
11-07-2015,39,11,3.663561646,121,1331,14641,0,0,0,0,0,0,1
12-07-2015,285,12,5.65248918,144,1728,20736,1,0,0,0,0,0,0
13-07-2015,213,13,5.361292166,169,2197,28561,0,1,0,0,0,0,0
14-07-2015,326,14,5.786897381,196,2744,38416,0,0,1,0,0,0,0
15-07-2015,203,15,5.313205979,225,3375,50625,0,0,0,1,0,0,0
16-07-2015,47,16,3.850147602,256,4096,65536,0,0,0,0,1,0,0
17-07-2015,75,17,4.317488114,289,4913,83521,0,0,0,0,0,1,0
18-07-2015,72,18,4.276666119,324,5832,104976,0,0,0,0,0,0,1
19-07-2015,280,19,5.634789603,361,6859,130321,1,0,0,0,0,0,0
20-07-2015,354,20,5.869296913,400,8000,160000,0,1,0,0,0,0,0
21-07-2015,35,21,3.555348061,441,9261,194481,0,0,1,0,0,0,0
22-07-2015,163,22,5.093750201,484,10648,234256,0,0,0,1,0,0,0
23-07-2015,115,23,4.744932128,529,12167,279841,0,0,0,0,1,0,0
24-07-2015,114,24,4.736198448,576,13824,331776,0,0,0,0,0,1,0
25-07-2015,47,25,3.850147602,625,15625,390625,0,0,0,0,0,0,1
26-07-2015,257,26,5.549076085,676,17576,456976,1,0,0,0,0,0,0
27-07-2015,182,27,5.204006687,729,19683,531441,0,1,0,0,0,0,0
28-07-2015,87,28,4.465908119,784,21952,614656,0,0,1,0,0,0,0
29-07-2015,43,29,3.761200116,841,24389,707281,0,0,0,1,0,0,0
30-07-2015,305,30,5.720311777,900,27000,810000,0,0,0,0,1,0,0
31-07-2015,304,31,5.717027701,961,29791,923521,0,0,0,0,0,1,0
01-08-2015,405,32,6.003887067,1024,32768,1048576,0,0,0,0,0,0,1
02-08-2015,542,33,6.295266001,1089,35937,1185921,1,0,0,0,0,0,0
03-08-2015,310,34,5.736572297,1156,39304,1336336,0,1,0,0,0,0,0
04-08-2015,253,35,5.533389489,1225,42875,1500625,0,0,1,0,0,0,0
05-08-2015,41,36,3.713572067,1296,46656,1679616,0,0,0,1,0,0,0
06-08-2015,52,37,3.951243719,1369,50653,1874161,0,0,0,0,1,0,0
07-08-2015,50,38,3.912023005,1444,54872,2085136,0,0,0,0,0,1,0
08-08-2015,60,39,4.094344562,1521,59319,2313441,0,0,0,0,0,0,1
09-08-2015,181,40,5.198497031,1600,64000,2560000,1,0,0,0,0,0,0
10-08-2015,203,41,5.313205979,1681,68921,2825761,0,1,0,0,0,0,0
11-08-2015,44,42,3.784189634,1764,74088,3111696,0,0,1,0,0,0,0
12-08-2015,33,43,3.496507561,1849,79507,3418801,0,0,0,1,0,0,0
13-08-2015,26,44,3.258096538,1936,85184,3748096,0,0,0,0,1,0,0
14-08-2015,51,45,3.931825633,2025,91125,4100625,0,0,0,0,0,1,0
15-08-2015,41,46,3.713572067,2116,97336,4477456,0,0,0,0,0,0,1
16-08-2015,267,47,5.587248658,2209,103823,4879681,1,0,0,0,0,0,0
17-08-2015,319,48,5.765191103,2304,110592,5308416,0,1,0,0,0,0,0
18-08-2015,57,49,4.043051268,2401,117649,5764801,0,0,1,0,0,0,0
19-08-2015,59,50,4.077537444,2500,125000,6250000,0,0,0,1,0,0,0
20-08-2015,39,51,3.663561646,2601,132651,6765201,0,0,0,0,1,0,0
21-08-2015,156,52,5.049856007,2704,140608,7311616,0,0,0,0,0,1,0
22-08-2015,58,53,4.060443011,2809,148877,7890481,0,0,0,0,0,0,1
23-08-2015,215,54,5.370638028,2916,157464,8503056,1,0,0,0,0,0,0
24-08-2015,88,55,4.477336814,3025,166375,9150625,0,1,0,0,0,0,0
25-08-2015,184,56,5.214935758,3136,175616,9834496,0,0,1,0,0,0,0
26-08-2015,31,57,3.433987204,3249,185193,10556001,0,0,0,1,0,0,0
27-08-2015,54,58,3.988984047,3364,195112,11316496,0,0,0,0,1,0,0
28-08-2015,42,59,3.737669618,3481,205379,12117361,0,0,0,0,0,1,0
29-08-2015,62,60,4.127134385,3600,216000,12960000,0,0,0,0,0,0,1
30-08-2015,528,61,6.269096284,3721,226981,13845841,1,0,0,0,0,0,0
31-08-2015,464,62,6.139884552,3844,238328,14776336,0,1,0,0,0,0,0
01-09-2015,85,63,4.442651256,3969,250047,15752961,0,0,1,0,0,0,0
02-09-2015,44,64,3.784189634,4096,262144,16777216,0,0,0,1,0,0,0
03-09-2015,37,65,3.610917913,4225,274625,17850625,0,0,0,0,1,0,0
04-09-2015,44,66,3.784189634,4356,287496,18974736,0,0,0,0,0,1,0
05-09-2015,34,67,3.526360525,4489,300763,20151121,0,0,0,0,0,0,1
