date,clicks
01-07-2015,111
02-07-2015,217
03-07-2015,220
04-07-2015,48
05-07-2015,321
06-07-2015,253
07-07-2015,221
08-07-2015,59
09-07-2015,149
10-07-2015,192
11-07-2015,39
12-07-2015,285
13-07-2015,213
14-07-2015,326
15-07-2015,203
16-07-2015,47
17-07-2015,75
18-07-2015,72
19-07-2015,280
20-07-2015,354
21-07-2015,35
22-07-2015,163
23-07-2015,115
24-07-2015,114
25-07-2015,47
26-07-2015,257
27-07-2015,182
28-07-2015,87
29-07-2015,43
30-07-2015,305
31-07-2015,304
01-08-2015,405
02-08-2015,542
03-08-2015,310
04-08-2015,253
05-08-2015,41
06-08-2015,52
07-08-2015,50
08-08-2015,60
09-08-2015,181
10-08-2015,203
11-08-2015,44
12-08-2015,33
13-08-2015,26
14-08-2015,51
15-08-2015,41
16-08-2015,267
17-08-2015,319
18-08-2015,57
19-08-2015,59
20-08-2015,39
21-08-2015,156
22-08-2015,58
23-08-2015,215
24-08-2015,88
25-08-2015,184
26-08-2015,31
27-08-2015,54
28-08-2015,42
29-08-2015,62
30-08-2015,528
31-08-2015,464
01-09-2015,85
02-09-2015,44
03-09-2015,37
04-09-2015,44
05-09-2015,34
06-09-2015,220
07-09-2015,66
08-09-2015,165
09-09-2015,94
10-09-2015,23
11-09-2015,31
12-09-2015,182
13-09-2015,385
14-09-2015,75
15-09-2015,62
16-09-2015,121
17-09-2015,129
18-09-2015,148
19-09-2015,152
20-09-2015,361
21-09-2015,489
22-09-2015,329
23-09-2015,138
24-09-2015,214
25-09-2015,169
26-09-2015,91
27-09-2015,385
28-09-2015,329
29-09-2015,227
30-09-2015,86
01-10-2015,169
02-10-2015,126
03-10-2015,245
04-10-2015,405
05-10-2015,290
06-10-2015,160
07-10-2015,96
08-10-2015,146
09-10-2015,112
10-10-2015,122
11-10-2015,365
12-10-2015,213
13-10-2015,138
14-10-2015,121
15-10-2015,112
16-10-2015,143
17-10-2015,146
18-10-2015,283
19-10-2015,449
20-10-2015,505
21-10-2015,140
22-10-2015,112
23-10-2015,117
24-10-2015,267
25-10-2015,467
26-10-2015,209
27-10-2015,119
28-10-2015,120
29-10-2015,122
30-10-2015,134
31-10-2015,146
01-11-2015,656
02-11-2015,315
03-11-2015,151
04-11-2015,133
05-11-2015,134
06-11-2015,197
07-11-2015,185
08-11-2015,396
09-11-2015,325
10-11-2015,170
11-11-2015,250
12-11-2015,203
13-11-2015,538
14-11-2015,366
15-11-2015,460
16-11-2015,492
17-11-2015,162
18-11-2015,101
19-11-2015,239
20-11-2015,161
21-11-2015,182
22-11-2015,499
23-11-2015,253
24-11-2015,220
25-11-2015,124
26-11-2015,193
27-11-2015,134
28-11-2015,162
29-11-2015,345
30-11-2015,174
01-12-2015,109
02-12-2015,108
03-12-2015,135
04-12-2015,125
05-12-2015,145
06-12-2015,287
07-12-2015,285
08-12-2015,332
09-12-2015,210
10-12-2015,116
11-12-2015,110
12-12-2015,176
13-12-2015,390
14-12-2015,220
15-12-2015,179
16-12-2015,153
17-12-2015,150
18-12-2015,100
19-12-2015,151
20-12-2015,345
21-12-2015,378
22-12-2015,249
23-12-2015,175
24-12-2015,178
25-12-2015,146
26-12-2015,220
27-12-2015,463
28-12-2015,448
29-12-2015,197
30-12-2015,252
31-12-2015,126
